# Mapeos manuales complementarios (nombre-yaml|imagen)
siervo-de-trabajo-ligero|light_laborjack.jpeg
siervo-de-trabajo-pesado|heavy_laborjack.jpeg
tatzylwurm-coloreado|painted_tatzylwurm.jpeg
trampillero|trapperkin.jpeg
troll-de-pantano|swamp_troll.jpeg
troll-invernal|winter_troll.jpeg
troll-magmatico|slag_troll.jpeg
troll-terrible|dire_troll.jpeg
rata-del-diablo-putrida|devil_rat.jpeg
asolador|desolator.jpeg
chillador|shrieker.jpeg
espanto|horror.jpeg
mortificante|dread.jpeg
croan-cazador|croak_hunter.jpeg
hombre-caiman-alma-esclava|gatorman_gatorman.jpeg
pistolero-espectral|nightmare.jpeg
reaver-umbrio|umbral_reaver.jpeg
grymkin-horrible|grymkin.jpeg
infernales|infernals.jpeg
trituradora-cascos|hull_grinder.jpeg
destructor|wrecker.jpeg
# Estos probablemente no tienen imagen exacta, usar genéricas
engendro-de-dragon|drakes.jpeg
engendro-de-dragon-menor|drakes.jpeg
hermanas-del-crepusculo|grymkin.jpeg
fantasma-feral|wraith.jpeg
mecaesclavo-abotagado|laborjack.jpeg
mecaesclavo-biliar|laborjack.jpeg
mecaesclavo-brutal|laborjack.jpeg
mecaesclavo-cazador-de-almas|laborjack.jpeg
siervo-de-guerra-ligero|laborjack.jpeg
excavador-mandiente|burrow_mawg.jpeg
comisario|archons.jpeg
cefalico-guardian|cephalyx_cognifex_cephalyx_cognifex.jpeg
rata-del-diablo-matriarca|devil_rat.jpeg
piel-y-planidos|grymkin.jpeg
thrullg|trolls.jpeg
vektiss|sea_drake.jpeg
sythyss|sea_drake.jpeg
rompecascos|wrecker.jpeg
