# YAML_slug|Spanish_Name|Image_file
mogote-fatidico|Mogote Fatídico|wold_wight.jpeg
mogote-fatuo|Mogote Fatuo|woldwyrd.jpeg
mogote-guardian|Mogote Guardián|wold_guardian.jpeg
mortificante|Mortificante|dread.jpeg
murcielagos-navaja|Murciélagos Navaja|razorbat_swarm.jpeg
oso-viudo|Oso Viudo|widow_bear.jpeg
piel-y-planidos|Piel y Plañidos|grymkin.jpeg
pistolero-espectral|Pistolero Espectral|nightmare.jpeg
podredumbre-terrorifica|Podredumbre Terrorífica|dread_rot.jpeg
rata-del-diablo-matriarca|Rata del Diablo Matriarca|devil_rat.jpeg
rata-del-diablo-putrida|Rata del Diablo Pútrida|devil_rat.jpeg
rompecascos|Rompecascos|wrecker.jpeg
sabuesanguinario|Sabuesanguinario|gorehound_gorehound.jpeg
saqu|Saqu|saqu.jpeg
satiro|Sátiro|satyr.jpeg
senor-de-la-voracidad|Señor de la Voracidad|greed_lord.jpeg
sepultado|Sepultado|entombed.jpeg
siervo-de-guerra-ligero|Siervo de Guerra Ligero|laborjack.jpeg
siervo-de-la-muerte|Siervo de la Muerte|deathjack.jpeg
siervo-de-trabajo-ligero|Siervo de Trabajo Ligero|light_laborjack.jpeg
siervo-de-trabajo-pesado|Siervo de Trabajo Pesado|heavy_laborjack.jpeg
skigg|Skigg|skigg.jpeg
suido-bruto|Suido Bruto|farrow_brute.jpeg
suido-caudillo|Suido Caudillo|farrow_warlord_farrow_warlord.jpeg
suido-chaman|Suido Chamán|farrow_shaman_farrow_shaman.jpeg
suido-gigante|Suido Gigante|giant_farrow.jpeg
sythyss|Sythyss|sea_drake.jpeg
tatzylwurm-coloreado|Tatzylwurm Coloreado|painted_tatzylwurm.jpeg
tatzylwurm-negro|Tatzylwurm Negro|black_tatzylwurm.jpeg
tatzylwurm-palido|Tatzylwurm Pálido|pale_tatzylwurm.jpeg
tatzylwurm-viperino|Tatzylwurm Viperino|tatzylwurm_viper.jpeg
thrullg|Thrullg|trolls.jpeg
trampillero|Trampillero|trapperkin.jpeg
trask-bocacuerno|Trask Bocacuerno|hornbeak_trask.jpeg
troglodita-del-pantano-arrastrero|Troglodita del Pantano Arrastrero|bog_trog_trawler.jpeg
troglodita-del-pantano-orador-de-la-niebla|Troglodita del Pantano Orador de la Niebla|croak_sorcerer.jpeg
troll-comun|Troll Común|common_troll.jpeg
troll-de-pantano|Troll de Pantano|swamp_troll.jpeg
troll-incandescente|Troll Incandescente|pyre_troll.jpeg
troll-invernal|Troll Invernal|winter_troll.jpeg
troll-magmatico|Troll Magmático|slag_troll.jpeg
troll-nocturno|Troll Nocturno|night_troll.jpeg
troll-terrible|Troll Terrible|dire_troll.jpeg
vektiss|Vektiss|sea_drake.jpeg
yegua-pesadillesca|Yegua Pesadillesca|nightmare.jpeg
